trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-285.3567149435052,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-105.83589470006272,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-156.29887321616494,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-169.97809037737076,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-156.11853998449592,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-335.0139906544422,"{0: 10, 1: 0, 2: 7, 3: 2, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,10,-68.58205793151393,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-318.84926363848325,"{0: 13, 1: 0, 2: 9, 3: 4, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-107.56623331347654,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-201.08476446669144,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-244.63906556886838,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-156.16926529450674,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-148.16873233490142,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-128.34032170801828,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,9,-145.43280700630942,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-168.45206836318206,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,-78.0267586871887,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-76.13025976508897,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-197.41737490407186,"{0: 13, 1: 0, 2: 9, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-213.34849782467876,"{0: 6, 1: 0, 2: 10, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,0,-197.76977345188237,"{0: 14, 1: 0, 2: 13, 3: 2, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",30,0,-85.75123379175342,"{0: 21, 1: 0, 2: 8, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",30,0,-121.90264536777914,"{0: 18, 1: 0, 2: 10, 3: 2, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-135.26685019650728,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-187.22831163303823,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
6,True,"{'a': 0, 'e': 0}",20,0,-96.10062883087276,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-68.81677903861039,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-181.22906444697873,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0, 'e': 0}",25,0,-46.4665792447753,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,0,-89.98084369381819,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
