trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9816109886008407}",25,0,-246.95210916452842,"{0: 12, 1: 0, 2: 8, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.9815373959366507}",20,3,-160.3093091256524,"{0: 8, 1: 0, 2: 5, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.9814635827529362}",20,0,-90.06844208137129,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9813895486843107}",25,0,-161.4784556471717,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9813152933657631}",25,0,-171.11556337744983,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9812408164326611}",25,0,-180.68372532530054,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.981166117520755}",30,0,-100.40959645536185,"{0: 21, 1: 0, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9810911962661796}",20,0,-102.15434449110997,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9810160523054584}",20,0,-170.24860450446093,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9809406852755063}",30,0,-162.67723648235523,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.9808650948136327}",20,0,-67.08244767932429,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9807892805575449}",25,0,-241.06115932079283,"{0: 13, 1: 0, 2: 7, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9807132421453507}",20,0,-168.89867374117028,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.980636979215562}",25,13,-98.30027092405373,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9805604914070981}",35,9,-129.11200252624693,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.9804837783592881}",20,0,-88.8355743766225,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9804068397118745}",25,0,-125.03176689455643,"{0: 12, 1: 0, 2: 12, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.9803296751050163}",20,0,-77.68616682549586,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9802522841792921}",25,0,-289.483263748208,"{0: 10, 1: 0, 2: 8, 3: 3, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.9801746665757031}",20,0,-64.13042612849394,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9800968219356762}",20,0,-43.44759097753476,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.9800187499010672}",20,0,-78.44978490407267,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9799404501141639}",25,0,-175.42290711357765,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.9798619222176892}",20,0,-195.2694804314044,"{0: 12, 1: 0, 2: 3, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.979783165854804}",25,0,-317.88634656519275,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 6}",0
26,False,"{'a': 0.5, 'e': 0.9797041806691107}",25,0,-191.00505389060822,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.9796249663046557}",20,0,-116.30707927293471,"{0: 13, 1: 0, 2: 3, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9795455224059331}",20,0,-136.1230326646383,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
29,False,"{'a': 0.5, 'e': 0.9794658486178875}",25,0,-126.13245996663625,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9793859445859169}",25,0,-156.0169098130827,"{0: 14, 1: 0, 2: 7, 3: 3, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.9793058099558761}",25,0,-148.74486025510734,"{0: 16, 1: 0, 2: 5, 3: 2, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.9792254443740798}",20,0,-121.02793841247205,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.9791448474873049}",30,0,-293.4909564915509,"{0: 14, 1: 0, 2: 9, 3: 3, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.9790640189427949}",30,0,-235.3690121762413,"{0: 17, 1: 0, 2: 9, 3: 0, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.9789829583882619}",20,0,-149.5556924556545,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.97890166547189}",25,13,-141.85459512921346,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 3}",1
37,False,"{'a': 0.5, 'e': 0.9788201398423382}",20,0,-131.1565195603617,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.9787383811487439}",25,0,-251.09885071403173,"{0: 13, 1: 0, 2: 6, 3: 2, 4: 4}",0
